# one_x_offsets	two_x_offsets	one_amplitudes	two_amplitudes
-1.924312046699269374e-08 -9.434610919186644385e-09 7.048791364509671142e-01 1.284888100936777189e+00
-3.145212831341139909e-08 -1.806145108634539405e-08 7.369292061194436805e-01 1.276480028500101449e+00
6.866059994074434779e-09 8.169407566464224692e-09 7.015376195239635404e-01 1.267884028593120771e+00
1.997554068479614225e-07 -7.349991439187049762e-09 7.000006102499773952e-01 9.415358831527227412e-01
1.379409843299928080e-09 1.457467871654126137e-08 1.292471541183591643e+00 7.046006559379116574e-01
2.234339364225917852e-08 -1.318731771413672802e-08 7.288987430345108542e-01 1.093900446701687290e+00
1.323315423784211836e-07 2.316371599568455629e-06 1.277238125188734585e+00 7.122047095092708391e-01
-1.302735843637872824e-08 -1.430329342345465331e-08 7.882257899704743220e-01 1.000387734076329194e+00
6.375272083702934779e-08 -4.736457191323327362e-09 7.000001141042309083e-01 1.218696700083076401e+00
2.178004517626950410e-07 1.794216924498098036e-08 7.000000014847367336e-01 1.021556534588402343e+00
1.794974308256250438e-07 -1.115455254162883469e-08 7.335312638785557171e-01 1.142354090008458112e+00
1.804059291119941551e-07 1.803899852836590929e-07 9.633740260113152765e-01 8.397477030938100828e-01
1.834412739340729335e-07 1.840663609301149523e-07 1.167394995237593935e+00 7.262453781822235666e-01
-3.499737887975358884e-09 1.026395672384780687e-08 1.109806719859357527e+00 8.726129605687125146e-01
1.764864461566874231e-07 1.877707994994892474e-08 7.041002299793520658e-01 1.279498074612312131e+00
3.237327605729836105e-08 2.135601477001090922e-07 7.000069184431794156e-01 9.216656958822002643e-01
-2.276693211509274111e-09 1.579467243102041476e-07 9.561705776405848844e-01 7.957723103794931419e-01
5.098404048322262300e-08 1.591892713110781775e-08 8.029505861376936560e-01 1.220313005626556979e+00
-5.849511942963998606e-09 -5.536524654035003633e-09 1.137222717808165529e+00 7.015446681729150535e-01
2.293425338025779626e-08 1.883053667932885432e-07 7.000000257806836546e-01 1.007882293543869823e+00
