# one_x_offsets_init	two_x_offsets_init	one_amplitudes_init	two_amplitudes_init
2.282747142588280355e-07 4.884819554320710714e-08 7.410598347940970942e-01 1.300000000000000044e+00
-1.291955247119161918e-08 -3.103547056980601581e-08 7.328685015660386659e-01 1.300000000000000044e+00
8.139437541269229706e-08 2.085509237281451608e-07 1.252722279200020328e+00 8.905243845121193491e-01
2.637255586144175961e-08 4.727137607250811238e-08 1.300000000000000044e+00 7.162054458443638527e-01
1.550386233372214701e-08 1.266248485647517417e-09 7.890337490650742858e-01 1.218110741225477245e+00
-9.060777302214143484e-09 1.616439255422873878e-07 1.201406504135515974e+00 9.792215017740752980e-01
5.569580136818514219e-08 5.497510442081268589e-08 1.113503987896033998e+00 8.153880979456927802e-01
3.714625294122987476e-08 1.063538739721201158e-07 8.948969793871407452e-01 1.034973102228548214e+00
3.392405661259107998e-08 3.280477666158007598e-08 7.833032104298029985e-01 1.300000000000000044e+00
3.875674169771542602e-08 6.515090616306666895e-08 1.171486836309910240e+00 7.195495664612098219e-01
8.143105002645293733e-08 7.106105394315575211e-08 1.195569188723436982e+00 7.149405647474988967e-01
2.145232175751290856e-07 3.734893322172439432e-08 7.123497559632996357e-01 1.234743018845753770e+00
2.994249058681816086e-08 3.706151915737575712e-08 1.300000000000000044e+00 7.292877169607046017e-01
2.089878896508604999e-07 -3.589281730213025364e-09 8.286474729953393625e-01 1.243371753044445471e+00
5.447774623582833066e-08 2.277681390914401247e-07 1.019989415388754539e+00 8.537159621043626245e-01
1.681831691878206048e-07 1.541483783974484851e-07 8.730599842110736697e-01 9.091143380610409164e-01
1.016008344418057060e-07 1.179136189863130334e-07 1.191547235874555799e+00 7.115592112720546814e-01
1.950636849412474665e-07 -4.986801899534482574e-09 1.097550040292422757e+00 9.827481980243939486e-01
-3.628714805356355793e-08 9.185419901241549501e-08 1.290077958049158813e+00 8.349737091129199040e-01
4.142477055044460049e-08 6.018676052307758434e-08 1.124673641122818202e+00 8.700407362605202533e-01
5.224946201813240973e-08 5.101495735004497482e-08 7.110015743225900353e-01 1.091161366527753973e+00
9.299691612150541570e-08 1.521698231482362568e-07 8.275537901868609270e-01 1.144355608322010553e+00
1.441602314037767407e-08 2.113255944300775169e-07 9.350860780398797534e-01 1.008913987181927707e+00
1.805007553784394522e-09 2.278181599272509940e-07 1.150154253725898412e+00 9.158576852794060308e-01
3.522987336282854259e-08 1.799784361810584528e-08 8.793420411756230903e-01 1.155078734564136234e+00
1.639196759197025379e-07 1.764253052639221135e-07 7.868869383384268223e-01 1.300000000000000044e+00
1.487212199680811344e-08 2.802425929983577978e-08 7.889674663713228675e-01 1.300000000000000044e+00
4.537175205132558053e-09 7.129436826438006720e-09 7.229975718960932607e-01 1.300000000000000044e+00
1.157902062129069982e-07 7.364440503507625071e-08 9.177984446144992203e-01 1.097666936544275940e+00
2.325367465301284788e-07 2.288265534279711205e-08 7.378855502057110050e-01 1.048050846388366653e+00
1.379415557744327532e-09 1.457468937122529162e-08 1.300000000000000044e+00 7.046006586235057378e-01
6.302871467544836770e-08 -4.344269971904735482e-08 7.461877144915609605e-01 1.231720693678308498e+00
1.323315272030317078e-07 2.316371791821751787e-06 1.300000000000000044e+00 7.122073337733129117e-01
2.329726698985338158e-08 4.353029694327802053e-08 1.210497027637713829e+00 7.221806492448519244e-01
5.507737871562468481e-08 5.250643064075106156e-08 1.283091554698539305e+00 7.920483122735612058e-01
1.801616546489046198e-07 8.951175118395312082e-09 1.070842495335097899e+00 7.981890281070116444e-01
1.429952782308107808e-07 -4.495523301308923259e-08 1.061154271267041205e+00 9.679836164186098602e-01
2.224572642210294586e-07 2.241417644547188782e-07 7.598355524940682004e-01 1.188729438247729586e+00
